algorithm,scenario,model,method,train_seed,unlearn_seed,ndcg
1,clean,Perfect,retrain,1,100,0.5395351152915778
1,clean,Perfect,retrain,1,101,0.5385684737487938
1,clean,Perfect,retrain,1,102,0.5370893817627526
1,clean,Perfect,retrain,1,103,0.5304497496298411
1,clean,Perfect,retrain,1,104,0.5316664364361389
1,clean,Perfect,retrain,1,105,0.5338838975219983
1,clean,Perfect,retrain,1,106,0.5362045131935185
1,clean,Perfect,retrain,1,107,0.5384435209383509
1,clean,Perfect,retrain,1,108,0.5360705713545736
1,clean,Perfect,retrain,1,109,0.5358010366305404
1,clean,Perfect,FedRemove,1,100,0.5364259871739633
1,clean,Perfect,FedRemove,1,101,0.5364259871739633
1,clean,Perfect,FedRemove,1,102,0.5364259871739633
1,clean,Perfect,FedRemove,1,103,0.5364259871739633
1,clean,Perfect,FedRemove,1,104,0.5364259871739633
1,clean,Perfect,FedRemove,1,105,0.5364259871739633
1,clean,Perfect,FedRemove,1,106,0.5364259871739633
1,clean,Perfect,FedRemove,1,107,0.5364259871739633
1,clean,Perfect,FedRemove,1,108,0.5364259871739633
1,clean,Perfect,FedRemove,1,109,0.5364259871739633
1,clean,Perfect,fedEraser,1,100,0.5358673442762442
1,clean,Perfect,fedEraser,1,101,0.5355490470377217
1,clean,Perfect,fedEraser,1,102,0.5366963049286052
1,clean,Perfect,fedEraser,1,103,0.5343925841535186
1,clean,Perfect,fedEraser,1,104,0.5355360242529105
1,clean,Perfect,fedEraser,1,105,0.5349741840741926
1,clean,Perfect,fedEraser,1,106,0.5386457607547307
1,clean,Perfect,fedEraser,1,107,0.5309003677693414
1,clean,Perfect,fedEraser,1,108,0.5340390627937058
1,clean,Perfect,fedEraser,1,109,0.5374380740241745
1,clean,Perfect,fineTuning,1,100,0.5308888272469247
1,clean,Perfect,fineTuning,1,101,0.5298897616529225
1,clean,Perfect,fineTuning,1,102,0.530737728408922
1,clean,Perfect,fineTuning,1,103,0.5309820715644997
1,clean,Perfect,fineTuning,1,104,0.5294237242478183
1,clean,Perfect,fineTuning,1,105,0.530916260085765
1,clean,Perfect,fineTuning,1,106,0.5307096669259626
1,clean,Perfect,fineTuning,1,107,0.5364862770240131
1,clean,Perfect,fineTuning,1,108,0.5334122768597361
1,clean,Perfect,fineTuning,1,109,0.5297542452943194
1,clean,Perfect,pga,1,100,0.5296152185028058
1,clean,Perfect,pga,1,101,0.5372906466900309
1,clean,Perfect,pga,1,102,0.5327145159032348
1,clean,Perfect,pga,1,103,0.536333486002043
1,clean,Perfect,pga,1,104,0.5404764361437541
1,clean,Perfect,pga,1,105,0.5361629515277693
1,clean,Perfect,pga,1,106,0.5311025370042436
1,clean,Perfect,pga,1,107,0.5357624192957762
1,clean,Perfect,pga,1,108,0.5343059635097706
1,clean,Perfect,pga,1,109,0.5361367770056115
1,clean,Navigational,retrain,1,100,0.5338928185400117
1,clean,Navigational,retrain,1,101,0.536271144884609
1,clean,Navigational,retrain,1,102,0.5251927629997807
1,clean,Navigational,retrain,1,103,0.5288325702044893
1,clean,Navigational,retrain,1,104,0.5348427208077171
1,clean,Navigational,retrain,1,105,0.529129056593215
1,clean,Navigational,retrain,1,106,0.5326553803965438
1,clean,Navigational,retrain,1,107,0.531419193559651
1,clean,Navigational,retrain,1,108,0.5335415558156335
1,clean,Navigational,retrain,1,109,0.5339141614507461
1,clean,Navigational,FedRemove,1,100,0.5310496825946671
1,clean,Navigational,FedRemove,1,101,0.5310496825946671
1,clean,Navigational,FedRemove,1,102,0.5310496825946671
1,clean,Navigational,FedRemove,1,103,0.5310496825946671
1,clean,Navigational,FedRemove,1,104,0.5310496825946671
1,clean,Navigational,FedRemove,1,105,0.5310496825946671
1,clean,Navigational,FedRemove,1,106,0.5310496825946671
1,clean,Navigational,FedRemove,1,107,0.5310496825946671
1,clean,Navigational,FedRemove,1,108,0.5310496825946671
1,clean,Navigational,FedRemove,1,109,0.5310496825946671
1,clean,Navigational,fedEraser,1,100,0.5326708644607389
1,clean,Navigational,fedEraser,1,101,0.5369750833949711
1,clean,Navigational,fedEraser,1,102,0.5349301665212175
1,clean,Navigational,fedEraser,1,103,0.5366186739385498
1,clean,Navigational,fedEraser,1,104,0.5376310740420778
1,clean,Navigational,fedEraser,1,105,0.5353770380501454
1,clean,Navigational,fedEraser,1,106,0.5365551591803929
1,clean,Navigational,fedEraser,1,107,0.5327700634991009
1,clean,Navigational,fedEraser,1,108,0.5265356125718028
1,clean,Navigational,fedEraser,1,109,0.5406627335052057
1,clean,Navigational,fineTuning,1,100,0.546715470616599
1,clean,Navigational,fineTuning,1,101,0.5414682395081021
1,clean,Navigational,fineTuning,1,102,0.5414761840956351
1,clean,Navigational,fineTuning,1,103,0.5449211779558598
1,clean,Navigational,fineTuning,1,104,0.5471550341750749
1,clean,Navigational,fineTuning,1,105,0.5433809056812966
1,clean,Navigational,fineTuning,1,106,0.5458295718769806
1,clean,Navigational,fineTuning,1,107,0.5482989564592697
1,clean,Navigational,fineTuning,1,108,0.5442166914396545
1,clean,Navigational,fineTuning,1,109,0.5439324519966396
1,clean,Navigational,pga,1,100,0.5470625441739781
1,clean,Navigational,pga,1,101,0.5202419973539598
1,clean,Navigational,pga,1,102,0.5352367691338588
1,clean,Navigational,pga,1,103,0.5294139439470343
1,clean,Navigational,pga,1,104,0.5361977398110225
1,clean,Navigational,pga,1,105,0.5370568504449128
1,clean,Navigational,pga,1,106,0.5336134169033926
1,clean,Navigational,pga,1,107,0.5264564996998536
1,clean,Navigational,pga,1,108,0.5396280903327133
1,clean,Navigational,pga,1,109,0.5386746594317018
1,clean,Informational,retrain,1,100,0.525360580552004
1,clean,Informational,retrain,1,101,0.5319656666266589
1,clean,Informational,retrain,1,102,0.522067341086909
1,clean,Informational,retrain,1,103,0.531977712557101
1,clean,Informational,retrain,1,104,0.5293468632394749
1,clean,Informational,retrain,1,105,0.5222922930070433
1,clean,Informational,retrain,1,106,0.5272914083887947
1,clean,Informational,retrain,1,107,0.5370070921475301
1,clean,Informational,retrain,1,108,0.5294945517608238
1,clean,Informational,retrain,1,109,0.5340702409963582
1,clean,Informational,FedRemove,1,100,0.5324929242316341
1,clean,Informational,FedRemove,1,101,0.5324929242316341
1,clean,Informational,FedRemove,1,102,0.5324929242316341
1,clean,Informational,FedRemove,1,103,0.5324929242316341
1,clean,Informational,FedRemove,1,104,0.5324929242316341
1,clean,Informational,FedRemove,1,105,0.5324929242316341
1,clean,Informational,FedRemove,1,106,0.5324929242316341
1,clean,Informational,FedRemove,1,107,0.5324929242316341
1,clean,Informational,FedRemove,1,108,0.5324929242316341
1,clean,Informational,FedRemove,1,109,0.5324929242316341
1,clean,Informational,fedEraser,1,100,0.525131267177335
1,clean,Informational,fedEraser,1,101,0.5288758426505985
1,clean,Informational,fedEraser,1,102,0.5284089012827444
1,clean,Informational,fedEraser,1,103,0.523421172213087
1,clean,Informational,fedEraser,1,104,0.5210035420639881
1,clean,Informational,fedEraser,1,105,0.5167357439954481
1,clean,Informational,fedEraser,1,106,0.5257299495487243
1,clean,Informational,fedEraser,1,107,0.5342813456268789
1,clean,Informational,fedEraser,1,108,0.5220142487596188
1,clean,Informational,fedEraser,1,109,0.5210896816970502
1,clean,Informational,fineTuning,1,100,0.5366339051119684
1,clean,Informational,fineTuning,1,101,0.5423921285739892
1,clean,Informational,fineTuning,1,102,0.5361513964596237
1,clean,Informational,fineTuning,1,103,0.5417052911112488
1,clean,Informational,fineTuning,1,104,0.5445503193657616
1,clean,Informational,fineTuning,1,105,0.5456470147928422
1,clean,Informational,fineTuning,1,106,0.5435223273336296
1,clean,Informational,fineTuning,1,107,0.5508564770184495
1,clean,Informational,fineTuning,1,108,0.5382810603169047
1,clean,Informational,fineTuning,1,109,0.5436630302222131
1,clean,Informational,pga,1,100,0.5244035796833436
